"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2017/07/03 10:11:17 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Bueno","Sí","Interesantes","Sí","Buenas","Muy Buenas","Normal","Normal","- La cursada es buena por los muchos ayudantes que apoyan para que los TP -salgan adelante y nadie tenga dudas. 
- Tiene su contrarparte esto, ya que tienen problemas graves a la hora de estandarizar las evaluaciones de parciales (ya que todos corrigen de formas distintas), los parciales no manejan sistemas de puntaje (MB, B, R o M no es sistema de puntaje claro). 
- El cómo se coloca una nota de parcial no queda claro con el sistema de letras, ya que algunos consideran que 2 de 3 B's es un 6 o 7, otros que eso es 4 recién, otros que una B y 2 R es para aprobar, otros no, etc. Falta estandarizar
Hay que tener suerte acá sobre quién te corrige. La profesora nunca ve los parciales ni se mete en la decisión de los ayudantes (no se si eso es lo correcto).
- Son poco claros a la hora de qué es lo que se le dará prioridad al revisar en cada ejercicio de parcial (se resuelve indicando justamente por puntaje cuánto vale cada paso). 
- Es común que 2 de 3 ejercicios por parcial tengan que detenerse y explicar qué es lo que se pide exactamente o explicitar algunos puntos. Esto genera obviamente que la gente entienda cosas diferentes y después los que evalúan tengan otro criterio. 
- Tengo la duda, pero no se qué tan correcto es que otro estudiante de la universidad sea el que finalmente está evaluando un parcial (sin pasar la revisión por el docente). Esta evaluación (al ser 4) se puede convertir al final de la cátedra en no aprobar, cosa no menor, en donde la docente a cargo no tuvo nunca injerencia ni evaluación hacia el alumno (tarea de justamente, los docentes, que se han preparado para ello)."
"2017/07/03 10:40:48 PM GMT-3","Algoritmos y Programación 3 - Fontela","Regular","Sí","Interesantes","Sí","Buenas","Buenas","Dificil","Dificil","Algunos docentes no están capacitados para dar la materia"
"2017/07/03 10:41:29 PM GMT-3","Simulación - Cadoche","Muy Bueno","Sí","Muy Interesantes","No","Buenas","Muy Buenas","Normal","Normal","Muy interesante :)
Las clases teóricas capaz podrían ser más cortas si se fueran un poquito menos de las ramas, pero nada terrible. Buenos los ejemplos que se dan en ella sobre el uso de los bloques que se ven."
"2017/07/03 10:45:04 PM GMT-3","Implantación de Sistemas - Bettini","Bueno","Sí","Poco Interesantes","Sí","Buenas","Malas","Dificil","Normal","Le falta criterios de corrección estandarizados. Es cierto que para cada caso es muy subjetivo lo que puede contestarse, pero con lo mismo si te corrige uno el parcial o el otro es completamente distinto (aprobado/desaprobado). Y para el parcial tampoco tienen muy en cuenta el tiempo que tenemos para hacerlo: te corrigen que te faltan cosas o ser más detallado, cosa que capaz es cierto, podría ser mejor, pero porque sino no llegás a hacer los itros ejercicios."
"2017/07/03 10:49:59 PM GMT-3","Calidad en el Desarrollo del Software - Pantaleo","Malo","Sí","Poco Interesantes","Sí","Regulares","Malas","Normal","Dificil","La práctica sin duda necesita un cambio. Cuesta entender el criterio de corrección, dan temas de otras materias y focalizan todo a la gestión de proyectos dejando de lados temas técnicos como test de unidad, integración continua o tdd. En la presentación final de lecciones aprendidas hicimos un borrador de como sería una mejor práctica según nuestro criterio pero no creo que lo tomen en cuenta. El tp es difícil porque no son claros los criterios de corrección y todo el tiempo estás reentregando sin esperar aprender algo sino conformar a los docentes. Muchos tiempos de corrección no se cumplieron y lo admitieron."
"2017/07/03 10:55:28 PM GMT-3","Manufactura Integrada por Computadora 1 - Ierache","Regular","Sí","Poco Interesantes","No","Regulares","Malas","Muy Facil","Fácil","Se aprendieron algunos temas interesantes como Industria 4.0 y como realizar un paper correctamente pero las clases fueron pocas. El profesor llegaba a las18 hs todos los días y la clase terminaba a las 19. Cuando el ayudante no estuvo había que esperar una hora para que llegue. Por momentos se tocaban temas interesantes en la teórica y se armaba debate.
La práctica es una verdadera pérdida de tiempo, la profesora Ochoa a veces no iba y no avisaba. Estaba desconectada de los otros profesores y nos usaban como intermediarios para decir una cosa u otra. Los tps era simbólicos ya que había que hacer algo muy corto. Más allá que Ochoa haya tenido problemas personales creo que es una falta de respeto no avisar a los alumnos cuando no podía ir, más teniendo una lista de correos. Hay toda una parte, que es la de cim, que quedó muy desactualizada tanto en temas como en material."
"2017/07/03 11:45:46 PM GMT-3","Algoritmos y Programación 3 - Fontela","Malo","Sí","Interesantes","Sí","Regulares","Regulares","Normal","Normal","En general (no defenestro a todos) los ayudantes de las prácticas bastante mal, en especial Massuh, no ayuda en absolutamente nada (por ejemplo: yo me había quedado sin grupo, le fui a preguntar qué hacer, se me rió en la cara y se fue) y lo que habla lo hace despectivamente y asumiendo obviedades donde no las hay.
Fontela se nota que sabe y dice cosas interesantes en sus clases teóricas. Pero en cuanto a la organización del curso (siendo que es el coordinador de toda la materia, debería hacer lo máximo posible por que se dicte bien) pareciera que no le importa, no se preocupa por que sus ayudantes corrijan los TPs a tiempo ni hace nada para mejorar la materia.

Este cuatrimestre fue un desastre: entregaron tarde todos los TP1-Smalltalk, no nos dieron para hacer el TP1-Java (salvo a los que desaprobaron el anterior) y nos dieron sólamente 2 o 3 semanas para el TP grande (Java + JavaFX), por lo que no hubo tiempo para dejarlo lindo y aprender las técnicas dictadas en las clases teóricas.

Me decepcionó bastante siendo la última materia obligatoria de algoritmos de la carrera."
"2017/07/03 11:51:13 PM GMT-3","Algoritmos y Programación 3 - Fontela","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Normal","Normal","Lo único a mejorar, en mi opinión, sería el manejo de los tiempos. Hubo algunos atrasos con los tiempos de corrección y entregas. Todo lo demás estuvo muy bien"
"2017/07/04 12:04:36 AM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Buenas","Excelentes","Normal","Normal",""
"2017/07/04 12:24:46 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Muy Bueno","No","Interesantes","Sí","Excelentes","Muy Buenas","Muy Dificil","Dificil",""
